PersPerOccupHous,PctHousOwnOcc,MalePctDivorce,FamInc,PctRecImmig8,NormPopulation,Rent,PctPopUnderPov,PctLess9thGrade,PctUnemployed,NumStreet,ViolentCrimesPerPop
0.34,0.47,0.78,Low,0.06,0,Low,0.43,0.32,0.44,0,23
0.38,0.51,0.52,Medium,0.12,0.24,Low,0.3,0.22,0.33,0.09,56
0.44,0.66,0.43,Medium,0.12,0,Medium,0.1,0.44,0.22,0,6
0.4,0.59,0.27,Medium,0.17,0.01,Medium,0.08,0.36,0.2,0,4
0.29,0.53,0.7,Low,0.04,0.02,Low,0.3,0.47,0.18,0,8
0.35,0.43,0.55,Low,0.12,0,Low,0.5,0.22,0.47,0,8
0.62,0.55,0.59,Low,0.09,0.01,Low,0.46,0.51,0.51,0.09,58
0.53,0.59,0.57,Low,0.38,0.02,Low,0.44,0.45,0.74,0,38
0.28,0.55,0.56,High,0.16,0.04,High,0.09,0.02,0.08,0,15
0.44,0.49,0.62,Low,0.03,0.07,Low,0.37,0.59,0.31,0.03,62
0.4,0.79,0.28,High,0.28,0.01,High,0.08,0.15,0.21,0,4
0.63,0.27,0.49,Low,0.8,0.05,Medium,0.4,1,0.75,0,51
0.4,0.5,0.52,Low,0.01,0,Low,0.25,0.24,0.23,0,6
0.59,0.77,0.16,High,0.14,0.04,Medium,0.04,0.1,0.07,0,5
0.49,0.61,0.54,Medium,0.17,0.05,Medium,0.1,0.15,0.2,0.06,22
0.4,0.56,0.2,Medium,0.1,0.04,Low,0.44,0.14,0.29,0,6
0.53,0.84,0.32,High,0.08,0.02,Medium,0.06,0.07,0.18,0,3
0.41,0.52,0.49,Medium,0.09,0.08,Medium,0.18,0.37,0.3,0.01,15
0.23,0.69,0.36,Low,0.09,0.02,Medium,0.24,0.08,0.51,0,19
0.45,0.62,0.61,Low,0.03,0.02,Low,0.39,0.18,0.51,0,13
0.46,0.58,0.67,Low,0.15,0.08,Low,0.75,0.57,0.89,0,69
0.4,0.58,0.69,Low,0.04,0.14,Low,0.57,0.42,0.62,0.13,71
0.38,0.5,0.69,Medium,0.14,0.34,Low,0.19,0.08,0.26,0,76
0.44,0.29,0.33,Medium,0.49,0.29,Medium,0.28,0.38,0.4,0.02,31
0.44,0.5,0.74,Low,0.1,0.09,Low,0.44,0.26,0.54,0.14,25
0.37,0.61,0.56,Low,0.06,0,Low,0.52,0.69,0.33,0,101
0.58,0.93,0.13,Medium,0.01,0.01,Low,0.09,0.1,0.23,0,1
0.3,0.33,0.15,Low,0.09,0,Low,0.82,0.23,0.43,0,4
0.32,0.67,0.51,Low,0.06,0,Low,0.31,0.45,0.32,0,7
0.35,0.7,0.49,Low,0.03,0.02,Medium,0.2,0.17,0.15,0,9
0.04,0.73,0.54,Medium,0.16,0.02,High,0.11,0.14,0.12,0,11
0.39,0.49,0.62,Low,0.01,0,Low,0.49,0.32,0.71,0,28
0.37,0.74,0.51,Low,0.1,0.04,Medium,0.19,0.27,0.3,0,16
0.29,0.27,0.84,Low,0.17,0.02,Medium,0.27,0.32,0.12,0.26,64
0.56,0.62,0.29,Medium,0.08,0.02,Low,0.24,0.15,0.16,0,6
0.48,0.7,0.33,High,0.05,0,Medium,0.11,0.09,0.21,0,4
0.52,0.67,0.48,Medium,0.07,0,Low,0.09,0.13,0.18,0,13
0.49,0.46,0.56,Medium,0.21,0.04,Medium,0.22,0.12,0.31,0,41
0.36,0.29,0.34,Medium,0.42,0.07,Medium,0.19,0.24,0.49,0.01,38
0.32,0.39,0.83,Low,0.1,0.03,Low,0.49,0.23,0.56,0.06,46
0.32,0.3,0.09,Low,0.59,0.06,Low,0.64,0.07,0.23,0,5
0.64,0.9,0.23,Medium,0.02,0.01,Medium,0.03,0.21,0.35,0,10
0.34,0.33,0.56,Medium,0.15,0.14,Medium,0.23,0.4,0.45,0,10
0.49,0.49,0.53,Low,0.11,0.11,Low,0.42,0.19,0.61,0,40
0.3,0.27,0.41,Medium,0.61,0,Medium,0.12,0.51,0.52,0,3
0.28,0.58,0.67,Low,0.39,0.18,Medium,0.28,0.29,0.37,0.22,35
0.42,0.55,0.63,Low,0.13,0.24,Low,0.44,0.29,0.42,0.05,29
0.32,0.53,0.43,Low,0.01,0,Low,0.31,0.46,0.07,0,9
0.39,0.59,0.66,Low,0,0.01,Low,0.99,0.61,1,0,45
0.34,0.3,0.3,Medium,0.25,0.05,Medium,0.73,0.13,0.34,0,25
0.54,0.66,0.26,Medium,0.09,0.01,Medium,0.04,0.13,0.07,0,10
0.53,0.54,0.44,Low,0.08,0,Low,0.58,0.78,0.53,0,27
0.36,0.4,0.64,Low,0.3,0.64,Low,0.53,0.32,0.53,0.23,41
0.26,0.73,0.48,Low,0.32,0.06,Medium,0.24,0.33,0.31,0.03,57
0.35,0.73,0.32,Medium,0.01,0.01,Medium,0.09,0.36,0.15,0,6
0.61,0.76,0.23,Medium,0.06,0.02,Medium,0.09,0.09,0.26,0,7
0.4,0.34,0.59,Medium,0.77,0.13,High,0.15,0.22,0.24,0,21
0.36,0.29,0.9,Low,0.24,0,Low,0.43,0.31,0.8,0.05,52
0.67,0.73,0.1,High,0.42,0.01,High,0.07,0.07,0.12,0,5
0.68,0.2,0.63,Low,0.98,0.16,Medium,0.43,0.59,0.68,0.22,87
0.51,0.85,0.14,Medium,0.09,0.02,Medium,0.09,0.19,0.09,0,6
0.3,0.74,0.41,Medium,0.05,0.03,Medium,0.17,0.16,0.22,0,7
0.05,0.08,0.76,Medium,0.52,0.12,Medium,0.24,0.19,0.27,0.84,69
0.47,0.7,0.63,Medium,0.29,0.06,Medium,0.19,0.15,0.26,0,23
0.55,0.8,0.19,High,0.19,0.02,High,0.02,0.15,0.19,0,6
0.71,0.85,0.15,Medium,0.05,0.03,Low,0.08,0.19,0.13,0,4
0.5,0.63,0.31,Medium,0.02,0,Low,0.08,0.13,0.11,0,10
0.36,0.49,0.42,Medium,0.06,0.02,Medium,0.2,0.21,0.4,0,18
0.47,0.67,0.44,Medium,0.02,0.01,Low,0.19,0.28,0.41,0,18
0.34,0.53,0.41,Medium,0.04,0.05,Medium,0.06,0.1,0.06,0,18
0.46,0.32,0.38,Medium,0.89,0.01,Medium,0.3,0.26,0.26,0.05,15
0.82,0.35,0.36,Low,1,0.03,Medium,0.4,1,0.75,0.06,63
0.37,0.69,0.4,Low,0,0,Low,0.19,0.29,0.42,0,4
0.51,0.73,0.45,Medium,0.06,0,Medium,0.24,0.29,0.19,0,16
0.49,0.54,0.55,Low,0.18,0.01,Low,0.42,0.52,0.4,0,14
0.72,0.81,0.32,Medium,0.36,0.05,High,0.09,0.18,0.25,0,28
0.37,0.52,0.3,Medium,0.39,0.1,Medium,0.11,0.42,0.26,0,9
0.44,0.55,0.24,Medium,0.33,0.01,Medium,0.04,0.24,0.34,0,7
0.57,0.89,0.14,Medium,0.05,0,Low,0.08,0.1,0.21,0,10
0.32,0.34,0.76,Medium,0.38,0.04,Medium,0.14,0.11,0.16,0,17
0.34,0.47,0.5,Low,0.01,0,Low,0.45,0.51,0.49,0,39
0.47,0.93,0.26,High,0.1,0.01,High,0.05,0.01,0.13,0,3
0.48,0.7,0.26,Medium,0.15,0.03,Medium,0.12,0.15,0.22,0,9
0.56,0.74,0.42,Medium,0.08,0.03,Medium,0.09,0.19,0.39,0,10
0.59,0.48,0.63,Low,0.01,0.03,Low,0.61,0.55,0.55,0,31
0.77,0.91,0.25,Medium,0.02,0.02,High,0.06,0.11,0.28,0,6
0.54,0.42,0.54,Low,0.22,0.06,Medium,0.26,0.23,0.35,0,18
0.5,0.27,0.45,Low,0.69,0.15,Medium,0.47,0.57,0.73,0.11,54
0.41,0.42,0.54,Low,0.11,0.34,Low,0.7,0.3,0.62,0.02,101
0.34,0.56,0.44,Low,0,0.01,Low,0.4,0.39,0.46,0,6
0.45,0.61,0.69,Low,0.08,0.01,Low,0.43,0.46,0.38,0,64
0.5,0.59,0.63,Low,0.14,0.02,Low,0.47,0.49,0.31,0.01,101
0.45,0.5,0.53,Low,0.08,0.12,Low,0.49,0.51,0.5,0,22
0.38,0.44,0.59,Low,0.07,0.11,Low,0.49,0.29,0.47,0.07,87
0.44,0.66,0.36,Medium,0.04,0.01,Low,0.19,0.22,0.34,0,4
0.5,0.72,0.22,Medium,0.08,0.03,Low,0.08,0.37,0.32,0,27
0.36,0.46,0.83,Low,0.03,0,Low,0.66,0.46,0.53,0.08,88
0.72,0.09,0.45,Low,1,0.08,Medium,0.45,0.81,0.75,0.03,45
0.45,0.73,0.33,High,0.15,0.02,High,0.1,0.04,0.07,0,4
0.42,0.41,0.62,Low,0.02,0.01,Low,0.64,0.75,0.51,0,74
0.21,0.54,0.68,Low,0.15,0.14,Low,0.27,0.21,0.27,0.08,49
0.58,0.67,0.37,Low,0.02,0,Low,0.22,0.19,0.2,0,7
0.26,0.35,0.24,Low,0.31,0.01,Low,0.59,0.41,0.42,0,8
0.31,0.63,0.46,Medium,0.05,0.03,Medium,0.08,0.16,0.22,0.08,4
0.55,0.74,0.21,Medium,0.05,0.04,Medium,0.09,0.12,0.42,0,18
0.54,0.77,0.2,Medium,0.1,0.02,Medium,0.11,0.18,0.32,0,12
0.3,0.66,0.2,Medium,0.18,0.01,High,0.05,0.21,0.17,0,6
0.6,0.73,0.49,Medium,0.33,0.04,Medium,0.13,0.14,0.16,0,26
0.33,0.13,0.05,Low,0.58,0.04,Low,1,0.11,0.43,0,6
0.4,0.56,0.52,Low,0.08,0.01,Low,0.4,0.39,0.3,0,16
0.29,0.47,0.59,Low,0.05,0.02,Low,0.41,0.4,0.23,0,47
0.37,0.47,0.66,Low,0.01,0.06,Low,0.41,0.3,0.52,0,46
0.24,0.47,0.58,Low,0.03,0.07,Low,0.61,0.41,0.73,0.01,24
0.48,0.79,0.37,Medium,0.09,0,Medium,0.09,0.23,0.27,0,9
0.4,0.59,0.54,Low,0.02,0,Low,0.3,0.37,0.42,0,9
0.9,0.48,0.36,Low,0.47,0.03,Low,0.9,1,0.88,0,21
0.42,0.33,0.53,Low,0.5,0.11,Medium,0.42,0.34,0.62,0.38,74
0.5,0.69,0.37,Medium,0.29,0.13,Medium,0.07,0.31,0.27,0,18
0.5,0.81,0.27,Medium,0.07,0.02,Medium,0.04,0.1,0.06,0,8
0.53,0.11,0.47,Low,0.88,0.35,Medium,0.5,0.48,0.74,0.61,84
0.31,0.52,0.66,Low,0.06,0.01,Low,0.36,0.2,0.48,0,11
0.27,0.63,0.54,Low,0.04,0,Low,0.17,0.08,0.18,0,26
0.37,0.48,0.71,Low,0.02,0.03,Low,0.4,0.3,0.58,0,13
0.5,0.55,0.51,Low,0.04,0,Low,0.64,0.47,0.77,0,26
0.51,0.6,0.43,Low,0.04,0,Low,0.58,0.87,0.48,0,31
0.68,0.93,0.1,High,0.18,0,High,0.04,0.2,0.11,0,3
0.37,0.51,0.43,Medium,0.1,0.07,Medium,0.09,0.2,0.19,0,20
0.31,0.43,0.53,Low,0.1,0.28,Low,0.3,0.26,0.25,0,37
0.65,0.55,0.34,Medium,0.31,0.11,Medium,0.12,0.11,0.2,0,13
0.5,0.6,0.38,Medium,0.03,0.02,Medium,0.08,0.16,0.15,0,2
0.52,0.88,0.23,Medium,0.06,0.01,Medium,0.06,0.17,0.05,0,7
0.67,0.86,0.35,Medium,0.01,0.02,Low,0.09,0.16,0.22,0,11
0.62,0.43,0.44,Medium,0.85,0.01,Medium,0.19,0.52,0.46,0.01,11
0.43,0.49,0.43,Medium,0.34,0.04,Medium,0.14,0.19,0.38,0,22
0.29,0.17,0.05,Low,0.51,0.02,Low,1,0.13,0.56,0,11
0.81,0.82,0.37,Medium,0.09,0.02,Medium,0.04,0.09,0.15,0,8
1,0.9,0.11,Medium,0.04,0,Low,0.06,0.03,0.24,0,3
0.63,0.89,0.21,Medium,0.02,0,Medium,0.04,0.09,0.32,0,4
0.47,0.65,0.38,Medium,0.12,0.01,Medium,0.1,0.16,0.19,0,2
0.43,0.39,0.68,Low,0.04,0.2,Low,0.6,0.39,0.5,0,42
0.39,0.43,0.72,Low,0.1,0.09,Low,0.37,0.2,0.58,0.65,27
0.32,0.4,0.7,Low,0.07,0.01,Low,0.49,0.64,0.37,0,43
0.64,0.6,0.55,Low,0.57,0.03,Medium,0.16,0.17,0.29,0,19
0.36,0.63,0.33,Medium,0.14,0,Medium,0.06,0.21,0.21,0.02,14
0.6,0.73,0.68,Low,0.01,0.01,Low,0.3,0.4,0.49,0,30
0.91,0.47,0.33,Medium,1,0.01,Medium,0.24,0.81,0.41,0,69
0.38,0.5,0.44,Low,0.03,0,Low,0.14,0.34,0.07,0,6
0.29,0.39,0.57,Low,0.19,0.16,Low,0.45,0.13,0.4,0.19,17
0.41,0.46,0.5,Medium,0.76,0.2,High,0.12,0.13,0.2,0.04,27
0.37,0.67,0.45,Low,0,0,Low,0.23,0.25,0.34,0,20
0.42,0.59,0.2,Medium,0.1,0.03,Medium,0.1,0.09,0.27,0,4
0.33,0.34,0.11,Medium,0.28,0,Low,0.76,0.18,0.35,0,16
0.4,0.39,0.67,Medium,0.58,0.01,Medium,0.16,0.26,0.3,0.02,30
0.35,0.73,0.33,Medium,0,0,Low,0.13,0.23,0.25,0,2
0.2,0.37,0.97,Low,0.6,0.03,Medium,0.27,0.25,0.26,0,67
0.45,0.62,0.24,Medium,0.38,0.01,Medium,0.08,0.24,0.22,0,6
0.69,0.75,0.36,Medium,0.09,0.01,Medium,0.18,0.21,0.31,0,28
0.47,0.44,0.65,Low,0.29,0.07,Medium,0.33,0.47,0.4,0.1,50
0.63,0.43,0.48,Low,0.09,0.03,Low,0.23,0.23,0.21,0,9
0.94,0.7,0.21,Low,0.03,0,Low,0.19,0.1,0.4,0,5
0.33,0.51,0.65,Low,0.01,0.07,Low,0.5,0.71,0.58,0,17
0.36,0.55,0.4,Medium,0.05,0.02,Medium,0.18,0.14,0.23,0,7
0.44,0.49,0.38,Low,0.02,0,Low,0.28,0.54,0.2,0,5
0.41,0.37,0.53,Medium,0.33,0.02,Medium,0.3,0.28,0.3,0,32
0.4,0.34,0.68,Low,0.08,0.07,Low,0.55,0.52,0.4,0,37
0.5,0.83,0.29,Medium,0.04,0,Low,0.11,0.21,0.28,0,6
0.4,0.55,0.41,Low,0.02,0.04,Low,0.24,0.36,0.29,0,17
0.34,0.59,0.56,Low,0.03,0,Low,0.55,0.52,0.48,0,11
0.36,0.5,0.64,Low,0.07,0.02,Low,0.68,0.52,0.56,0,75
0.36,0.32,0.51,Low,0.39,0.1,Low,0.27,0.57,0.52,0,20
0.4,0.54,0.41,Low,0.01,0,Low,0.67,0.64,0.61,0,64
0.24,0.42,0.73,Low,0.07,0.01,Low,0.47,0.27,0.35,0,43
0.31,0.64,0.65,Low,0.01,0,Low,0.33,0.33,0.48,0,5
0.46,0.82,0.36,Low,0,0,Low,0.19,0.29,0.38,0,7
0.32,0.45,0.61,Low,0.15,0.02,Low,0.5,0.34,0.61,0.01,21
0.35,0.14,0.54,Low,0.25,0.19,Medium,0.56,0.41,0.62,0.04,89
0.6,0.73,0.32,Medium,0.07,0.03,Medium,0.07,0.29,0.54,0,13
0.64,0.57,0.47,Low,0.21,0.01,Low,0.43,0.64,0.42,0,12
0.71,0.17,0.33,Low,0.44,0.03,Medium,0.25,0.2,0.17,0,28
0.64,0.82,0.24,Medium,0.02,0.02,Low,0.08,0.19,0.24,0,3
0.46,0.59,0.34,Medium,0.09,0.05,Medium,0.2,0.27,0.3,0,38
0.36,0.36,0.83,Low,0.09,0.04,Low,0.28,0.18,0.28,0.01,19
0.57,0.71,0.16,High,0.12,0.03,Medium,0.06,0.1,0.21,0,5
0.31,0.41,0.65,Low,0.05,0.02,Low,0.38,0.4,0.27,0,13
0.59,0.52,0.49,Low,0.34,0.11,Low,0.46,0.42,0.43,0.02,33
1,0.25,0.35,Low,1,0.15,Medium,0.6,1,0.63,0.35,55
0.49,0.57,0.56,Low,0.01,0.02,Low,0.4,0.25,0.48,0,19
0.42,0.51,0.57,Medium,0.37,0.08,Medium,0.19,0.27,0.27,0,26
0.5,0.24,0.76,Low,0.64,0.08,Medium,0.24,0.3,0.35,0,71
0.17,0.58,0.7,Low,0.04,0.01,Low,0.38,0.35,0.36,0.02,23
0.37,0.36,0.7,Low,0.06,0.05,Low,0.58,0.5,0.43,0.01,101
0.31,0.37,0.4,Low,0.19,0.07,Low,0.56,0.33,0.38,0,4
0.37,0.45,0.59,Medium,0.13,0.62,Low,0.28,0.2,0.22,0.24,75
0.28,0.5,0.64,Low,0.07,0.1,Low,0.36,0.32,0.41,0.07,64
0.54,0.66,0.21,High,0.1,0.02,Medium,0.03,0.04,0.07,0,6
0.37,0.37,0.48,Medium,0.41,0,Medium,0.14,0.32,0.32,0.09,10
0.6,0.9,0.16,Medium,0,0.01,Medium,0.05,0.15,0.15,0,5
0.45,0.21,0.72,Low,0.06,0.1,Low,0.58,0.28,0.27,0.02,94
0.31,0.46,0.75,Low,0.02,0.01,Low,0.71,0.76,0.56,0,20
0.45,0.6,0.35,Medium,0.08,0,Medium,0.12,0.44,0.08,0,7
0.25,0.55,0.57,Low,0,0.01,Low,0.45,0.37,0.76,0,4
0.77,0.71,0.35,Low,0.18,0,Low,0.71,1,0.93,0,11
0.36,0.56,0.62,Low,0.01,0.02,Low,0.26,0.33,0.29,0,54
0.23,0.48,0.63,Low,0.09,0.02,Low,0.35,0.37,0.41,0.01,60
0.26,0.33,0.81,Low,0.05,0.31,Low,0.55,0.42,0.4,0.01,68
0.58,0.85,0.22,High,0.08,0.03,Medium,0.04,0.13,0.17,0,2
0.53,0.79,0.37,Medium,0.02,0.03,Medium,0.11,0.31,0.34,0,6
0.29,0.6,0.51,Medium,0.12,0.03,Low,0.24,0.2,0.28,0,15
0.45,0.51,0.58,Low,0.04,0.28,Low,0.48,0.3,0.44,0.01,36
0.4,0.7,0.58,Low,0.08,0.01,Low,0.21,0.44,0.39,0,18
0.29,0.41,0.18,Low,0.07,0,Low,0.72,0.31,0.34,0,6
0.31,0.45,0.61,Low,0.05,0.01,Low,0.31,0.21,0.36,0,70
0.58,0.69,0.28,Medium,0.09,0.03,Medium,0.11,0.26,0.35,0,12
0.28,0.55,0.56,Low,0.03,0.04,Low,0.48,0.58,0.4,0,25
0.18,0.48,0.94,Low,0.44,0,Medium,0.33,0.19,0.22,0,36
0.41,0.51,0.82,Low,0.02,0.04,Low,0.43,0.33,0.51,0,28
0.71,0.81,0.27,Medium,0.05,0,Medium,0.09,0.11,0.46,0,14
0.69,0.53,0.55,Medium,0.62,0.06,Medium,0.28,0.36,0.44,0.08,37
0.43,0.45,0.7,Low,0.01,0.02,Low,0.59,0.64,0.58,0,35
0.42,0.78,0.34,Medium,0.06,0.06,Medium,0.08,0.31,0.28,0.01,9
0.59,0.62,0.42,Medium,0.03,0.01,Medium,0.17,0.43,0.51,0,6
0.39,0.52,0.34,Low,0.01,0.06,Low,0.25,0.37,0.24,0,4
0.24,0.42,0.35,Low,0.08,0.01,Low,0.59,0.3,0.46,0,4
0.24,0.67,0.42,Low,0.02,0.01,Medium,0.27,0.07,0.57,0,13
0.36,0.58,0.28,Low,0.01,0.01,Low,0.28,0.33,0.22,0,7
0.23,0.4,0.84,Low,0.11,0.03,Low,0.28,0.19,0.28,0,33
0.61,0.66,0.3,Medium,0.3,0.01,Medium,0.21,0.45,0.41,0,20
0.5,0.69,0.65,Low,0.08,0.01,Low,0.4,0.33,0.66,0,15
0.37,0.3,0.57,Low,0.3,0.03,Medium,0.38,0.37,0.56,0,52
0.72,0.96,0.16,High,0.03,0,High,0.04,0.16,0.2,0,2
0.45,0.48,0.58,Low,0.11,0.02,Low,0.44,0.4,0.39,0,60
0.57,0.79,0.35,Medium,0,0.01,Medium,0.1,0.53,0.48,0,10
0.38,0.81,0.38,Low,0.01,0.02,Medium,0.22,0.35,0.5,0,11
0.18,0.2,0.21,Low,0.17,0,Medium,0.51,0.24,0.28,0,10
0.41,0.73,0.21,Medium,0.09,0.01,Medium,0.03,0.15,0.16,0,4
0.32,0.47,0.56,Low,0.16,0.15,Low,0.33,0.4,0.38,0.03,29
0.39,0.66,0.39,Low,0.06,0.02,Low,0.27,0.25,0.45,0,11
0.53,0.66,0.27,Medium,0.14,0.04,Medium,0.07,0.3,0.21,0,13
0.46,0.26,0.62,Low,0.88,0.67,Medium,0.44,0.39,0.41,0.15,68
0.77,0.93,0.15,High,0.19,0.01,High,0,0.14,0.26,0,3
0.94,0.54,0.33,Low,0.6,0,Medium,0.34,0.88,0.41,0,30
0.24,0.29,0.95,Low,0.12,0.06,Low,0.45,0.25,0.49,0.05,37
0.41,0.45,0.54,Low,0.06,0.02,Low,0.25,0.22,0.23,0,12
0.37,0.64,0.58,Low,0.03,0,Low,0.37,0.62,0.19,0,4
0.45,0.52,0.39,Low,0.03,0.01,Low,0.45,0.36,0.37,0,36
0.36,0.32,0.77,Low,0.25,0.02,Low,0.39,0.71,0.35,0,26
0.37,0.58,0.5,Low,0.06,0.02,Low,0.22,0.17,0.38,0,7
0.23,0.3,0.41,High,0.88,0.04,High,0.16,0.12,0.19,0.01,46
0.58,0.47,0.59,Low,0.22,0.09,Low,0.42,0.44,0.51,0.05,24
0.36,0.46,0.74,Low,0.01,0.03,Low,0.69,0.38,0.91,0,33
0.42,0.81,0.35,Medium,0.07,0.03,High,0.04,0.09,0.1,0,5
0.41,0.51,0.17,Medium,0.32,0.02,High,0.08,0.1,0.2,0,3
0.58,0.76,0.48,Low,0,0.01,Low,0.13,0.45,0.34,0,17
0.61,0.71,0.4,Medium,0.06,0.07,Medium,0.07,0.19,0.3,0,13
0.36,0.25,0.36,Medium,0.25,0.08,Medium,0.22,0.39,0.35,0.01,21
0.37,0.48,0.71,Low,0.02,0.12,Low,0.58,0.36,0.77,0,52
0.42,0.5,0.4,Medium,0.39,0.01,Medium,0.08,0.26,0.19,0,19
0.32,0.46,0.59,Low,0.04,0.08,Low,0.49,0.4,0.74,0,31
0.5,0.35,0.59,Low,0.01,0.01,Low,0.44,0.5,0.37,0,38
0.94,0.46,0.33,Low,0.65,0.01,Low,0.56,1,1,0,32
0.27,0.58,0.41,Low,0.06,0,Low,0.13,0.27,0.21,0,5
0.39,0.38,0.76,Low,0.27,0.01,Medium,0.35,0.26,0.46,0.01,19
0.4,0.44,0.45,Low,0.02,0,Low,0.45,0.54,0.24,0,49
0.33,0.64,0.47,Low,0.05,0.02,Low,0.49,0.4,0.46,0,10
0.4,0.36,0.43,Low,0.06,0.02,Low,0.3,0.66,0.39,0,8
0.53,0.27,0.49,Low,0.22,0.09,Low,0.38,0.17,0.64,0.01,28
0.62,0.57,0.6,Medium,0.17,0.08,Medium,0.23,0.19,0.41,0.06,31
1,0.5,0.25,Low,1,0.02,Low,0.83,1,0.96,0.02,35
