Date,Month,Year,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
11/16/2023,11,2023,AMZN Mktp US*D883J0R53,AMZN Mktp US*D883J0R53,10.17,debit,Shopping,Southwest Credit Card,,
11/16/2023,11,2023,AMZN Mktp US*PW1Q65EY3,AMZN Mktp US*PW1Q65EY3,48.74,debit,Shopping,Southwest Credit Card,,
11/16/2023,11,2023,Amazon.com*QO4WK6J23,Amazon.com*QO4WK6J23,2.82,debit,Shopping,Southwest Credit Card,,
11/16/2023,11,2023,AMZN Mktp US*TN59H5PE3,AMZN Mktp US*TN59H5PE3,9.39,debit,Shopping,Southwest Credit Card,,
11/15/2023,11,2023,Amazon.com*KP26Z8KQ3,Amazon.com*KP26Z8KQ3,34.97,debit,Shopping,Southwest Credit Card,,
11/14/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,24.01,debit,Groceries,Southwest Credit Card,,
11/14/2023,11,2023,GIANT-EAGLE #0093 CURBSID,GIANT-EAGLE #0093 CURBSID,33.94,debit,Groceries,Southwest Credit Card,,
11/14/2023,11,2023,TST* Bubble Bee- South hi,TST* Bubble Bee- South hi,16.21,debit,Restaurants,Southwest Credit Card,,
11/13/2023,11,2023,POWER OF BOWSER,POWER OF BOWSER,2946.31,debit,Mortgage & Rent,Southwest Credit Card,,
11/13/2023,11,2023,SHEETZ 0498 XXXX4986,SHEETZ 0498 XXXX4986,15.06,debit,Gas & Fuel,Southwest Credit Card,,
11/13/2023,11,2023,PENN STATE UNIVERSITY,PENN STATE UNIVERSITY,32.2,debit,Education,Southwest Credit Card,,
11/13/2023,11,2023,MACYS SOUTH HILLS,MACYS SOUTH HILLS,3,debit,Clothing,Southwest Credit Card,,
11/13/2023,11,2023,LOFT 0961 SOUTH HILLS VI,LOFT 0961 SOUTH HILLS VI,86.37,debit,Clothing,Southwest Credit Card,,
11/13/2023,11,2023,SHEETZ 0430 XXXX4309,SHEETZ 0430 XXXX4309,6.75,debit,Gas & Fuel,Southwest Credit Card,,
11/13/2023,11,2023,GIANT-EAGLE #0031,GIANT-EAGLE #0031,6.04,debit,Groceries,Southwest Credit Card,,
11/13/2023,11,2023,TST* Doggies Pub,TST* Doggies Pub,29,debit,Alcohol & Bars,Southwest Credit Card,,
11/13/2023,11,2023,GIANT-EAGLE #0031,GIANT-EAGLE #0031,84.67,debit,Groceries,Southwest Credit Card,,
11/13/2023,11,2023,SHEETZ 0430 XXXX4309,SHEETZ 0430 XXXX4309,4.29,debit,Gas & Fuel,Southwest Credit Card,,
11/13/2023,11,2023,ANN TAYLOR #55,ANN TAYLOR #55,54.5,credit,Income,Southwest Credit Card,,
11/13/2023,11,2023,PENN STATE UNIVERSITY,PENN STATE UNIVERSITY,24,debit,Education,Southwest Credit Card,,
11/12/2023,11,2023,AMZN Mktp US*TS87C92Y3,AMZN Mktp US*TS87C92Y3,106,debit,Shopping,Southwest Credit Card,,
11/12/2023,11,2023,CHIPOTLE 3357,CHIPOTLE 3357,17.12,debit,Fast Food,Southwest Credit Card,,
11/12/2023,11,2023,Amazon.com*SX4U961X3,Amazon.com*SX4U961X3,9.32,debit,Shopping,Southwest Credit Card,,
11/12/2023,11,2023,DUFFYS BEER,DUFFYS BEER,60.95,debit,Alcohol & Bars,Southwest Credit Card,,
11/12/2023,11,2023,SPOONWOOD BREWING CO.,SPOONWOOD BREWING CO.,51.28,debit,Restaurants,Southwest Credit Card,,
11/12/2023,11,2023,AMZN Mktp US*W49K14LP3,AMZN Mktp US*W49K14LP3,10.59,debit,Shopping,Southwest Credit Card,,
11/12/2023,11,2023,APPLE.COM/BILL,APPLE.COM/BILL,9.99,debit,Electronics & Software,Southwest Credit Card,,
11/12/2023,11,2023,KOHL'S #0292,KOHL'S #0292,31.98,debit,Clothing,Southwest Credit Card,,
11/12/2023,11,2023,Amazon.com*FD2RQ2FA3,Amazon.com*FD2RQ2FA3,17.08,debit,Shopping,Southwest Credit Card,,
11/12/2023,11,2023,Stance,Stance,49.84,debit,Clothing,Southwest Credit Card,,
11/12/2023,11,2023,Amazon.com*374TW6M03,Amazon.com*374TW6M03,37.09,debit,Shopping,Southwest Credit Card,,
11/10/2023,11,2023,Amazon.com*HO5537NZ3,Amazon.com*HO5537NZ3,9.09,debit,Shopping,Southwest Credit Card,,
11/10/2023,11,2023,APPLE.COM/BILL,APPLE.COM/BILL,2.99,debit,Electronics & Software,Southwest Credit Card,,
11/9/2023,11,2023,AMZN Mktp US*AH1E65ME3,AMZN Mktp US*AH1E65ME3,5.29,debit,Shopping,Southwest Credit Card,,
11/8/2023,11,2023,AMZN Mktp US*8C4W30G93,AMZN Mktp US*8C4W30G93,32.72,debit,Shopping,Southwest Credit Card,,
11/7/2023,11,2023,SHEETZ 0515 XXXX5157,SHEETZ 0515 XXXX5157,41.21,debit,Gas & Fuel,Southwest Credit Card,,
11/7/2023,11,2023,GIANT-EAGLE #0093 CURBSID,GIANT-EAGLE #0093 CURBSID,92.84,debit,Groceries,Southwest Credit Card,,
11/6/2023,11,2023,WHOLEFDS SHL #X0242,WHOLEFDS SHL #X0242,96.74,debit,Groceries,Southwest Credit Card,,
11/6/2023,11,2023,KOHL'S #0291,KOHL'S #0291,79.53,debit,Clothing,Southwest Credit Card,,
11/6/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,21.87,debit,Groceries,Southwest Credit Card,,
11/6/2023,11,2023,AMZN Mktp US*XR31V9923,AMZN Mktp US*XR31V9923,42.39,debit,Shopping,Southwest Credit Card,,
11/5/2023,11,2023,DUFFYS BEER,DUFFYS BEER,25.66,debit,Alcohol & Bars,Southwest Credit Card,,
11/5/2023,11,2023,AMZN Mktp US*3P04L3653,AMZN Mktp US*3P04L3653,24.37,debit,Shopping,Southwest Credit Card,,
11/5/2023,11,2023,GIANT-EAGLE #0031,GIANT-EAGLE #0031,47.82,debit,Groceries,Southwest Credit Card,,
11/5/2023,11,2023,PARTY CITY BOPIS,PARTY CITY BOPIS,24.93,debit,Entertainment,Southwest Credit Card,,
11/5/2023,11,2023,AMZN Mktp US*GG98B92U3,AMZN Mktp US*GG98B92U3,10.59,debit,Shopping,Southwest Credit Card,,
11/5/2023,11,2023,PERFORMANCEBSTORE,PERFORMANCEBSTORE,46.29,debit,Sporting Goods,Southwest Credit Card,,
11/5/2023,11,2023,CLASSIC HAIR MAKEU,CLASSIC HAIR MAKEU,90,debit,Hair,Southwest Credit Card,,
11/5/2023,11,2023,AMZN Mktp US*AI9OX7W33,AMZN Mktp US*AI9OX7W33,5.99,debit,Shopping,Southwest Credit Card,,
11/5/2023,11,2023,Prime Video *1JXXX3933,Prime Video *1JXXX3933,9.99,debit,Movies & DVDs,Southwest Credit Card,,
11/2/2023,11,2023,Amazon.com*4D3PP4IJ3,Amazon.com*4D3PP4IJ3,5.64,debit,Shopping,Southwest Credit Card,,
11/2/2023,11,2023,SHEETZ 0515 XXXX5157,SHEETZ 0515 XXXX5157,53.9,debit,Gas & Fuel,Southwest Credit Card,,
11/2/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,61.08,debit,Groceries,Southwest Credit Card,,
11/2/2023,11,2023,AMZN Mktp US*8H2EH18N3,AMZN Mktp US*8H2EH18N3,1.11,debit,Shopping,Southwest Credit Card,,
11/2/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,21.92,debit,Groceries,Southwest Credit Card,,
11/2/2023,11,2023,SHEETZ 0515 XXXX5157,SHEETZ 0515 XXXX5157,6.99,debit,Gas & Fuel,Southwest Credit Card,,
11/1/2023,11,2023,TARGET.COM *,TARGET.COM *,24.11,debit,Shopping,Southwest Credit Card,,
11/1/2023,11,2023,365 Market 888 XXX-3299,365 Market 888 XXX-3299,1.65,debit,Groceries,Southwest Credit Card,,
11/1/2023,11,2023,GIANT-EAGLE #0093 CURBSID,GIANT-EAGLE #0093 CURBSID,133.92,debit,Groceries,Southwest Credit Card,,
11/1/2023,11,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,16,debit,Groceries,Southwest Credit Card,,
11/1/2023,11,2023,THE HOME DEPOT 4115,THE HOME DEPOT 4115,115.31,debit,Home Improvement,Southwest Credit Card,,
11/1/2023,11,2023,PANERA BREAD #XX2346,PANERA BREAD #XX2346,32.59,debit,Fast Food,Southwest Credit Card,,
11/1/2023,11,2023,AMZN Mktp US,AMZN Mktp US,14.81,credit,Shopping,Southwest Credit Card,,
11/1/2023,11,2023,APPLE.COM/BILL,APPLE.COM/BILL,6.35,credit,Income,Southwest Credit Card,,
10/31/2023,10,2023,AMZN Mktp US*4G2AF3PQ3,AMZN Mktp US*4G2AF3PQ3,10.59,debit,Shopping,Southwest Credit Card,,
10/31/2023,10,2023,AMZN Mktp US*9W7HI7223,AMZN Mktp US*9W7HI7223,7.69,debit,Shopping,Southwest Credit Card,,
10/30/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,6.35,debit,Electronics & Software,Southwest Credit Card,,
10/30/2023,10,2023,Amazon.com*9V9QG4TV3,Amazon.com*9V9QG4TV3,27.08,debit,Shopping,Southwest Credit Card,,
10/30/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,21.18,debit,Electronics & Software,Southwest Credit Card,,
10/30/2023,10,2023,EAST END BREWING CO,EAST END BREWING CO,9,debit,Alcohol & Bars,Southwest Credit Card,,
10/30/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,12.71,debit,Electronics & Software,Southwest Credit Card,,
10/30/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,6.35,debit,Electronics & Software,Southwest Credit Card,,
10/30/2023,10,2023,STARBUCKS STORE X0751,STARBUCKS STORE X0751,2.95,debit,Coffee Shops,Southwest Credit Card,,
10/30/2023,10,2023,"AMOCO#XXX1476SAW MILL, O","AMOCO#XXX1476SAW MILL, O",43.02,debit,Gas & Fuel,Southwest Credit Card,,
10/28/2023,10,2023,Amazon.com*LZ6JA9NM3,Amazon.com*LZ6JA9NM3,50,debit,Shopping,Southwest Credit Card,,
10/28/2023,10,2023,ANNTAYLOR.COM #611,ANNTAYLOR.COM #611,74.49,debit,Clothing,Southwest Credit Card,,
10/28/2023,10,2023,Amazon.com*CE0QA8C83,Amazon.com*CE0QA8C83,14.99,debit,Shopping,Southwest Credit Card,,
10/28/2023,10,2023,AMZN Mktp US*PX9ZB81K3,AMZN Mktp US*P29ZB81K3,30.19,debit,Shopping,Southwest Credit Card,,
10/28/2023,10,2023,Amazon.com*QS5DI6NC3,Amazon.com*QS5DI6NC3,12.93,debit,Shopping,Southwest Credit Card,,
10/28/2023,10,2023,THE PIZZA COMPANY,THE PIZZA COMPANY,36.36,debit,Restaurants,Southwest Credit Card,,
10/27/2023,10,2023,RITE AID X0950,RITE AID X0950,5.21,debit,Pharmacy,Southwest Credit Card,,
10/27/2023,10,2023,AMZN Mktp US*DXXDX9993,AMZN Mktp US*D94DX9993,29.97,debit,Shopping,Southwest Credit Card,,
10/27/2023,10,2023,RITE AID X0950,RITE AID X0950,10,debit,Pharmacy,Southwest Credit Card,,
10/26/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,1.99,debit,Electronics & Software,Southwest Credit Card,,
10/26/2023,10,2023,XXX Market  XXX XXX-3299,365 Market 888 XXX-3299,1.65,debit,Groceries,Southwest Credit Card,,
10/26/2023,10,2023,SXM*SIRIUSXM.COM/ACCT,SXM*SIRIUSXM.COM/ACCT,31.12,debit,Music,Southwest Credit Card,,
10/25/2023,10,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,41.53,debit,Groceries,Southwest Credit Card,,
10/25/2023,10,2023,GIANT-EAGLE #0093 CURBSID,GIANT-EAGLE #0093 CURBSID,95.85,debit,Groceries,Southwest Credit Card,,
10/25/2023,10,2023,Amazon.com*DY6ZG97O3,Amazon.com*DY6ZG97O3,26.55,debit,Shopping,Southwest Credit Card,,
10/25/2023,10,2023,STORE*CHICK-FIL-A,STORE*CHICK-FIL-A,54.53,debit,Fast Food,Southwest Credit Card,,
10/24/2023,10,2023,GOFAN - WPIAL,GOFAN - WPIAL,16.7,debit,Education,Southwest Credit Card,,
10/24/2023,10,2023,SBARRO`S,SBARRO`S,12.18,debit,Restaurants,Southwest Credit Card,,
10/24/2023,10,2023,Amazon.com*YT7LJ2UN3,Amazon.com*YT7LJ2UN3,10.97,debit,Shopping,Southwest Credit Card,,
10/24/2023,10,2023,PLANET BOUNCE PITTSBURGH,PLANET BOUNCE PITTSBURGH,5.2,debit,Amusement,Southwest Credit Card,,
10/24/2023,10,2023,AAA EC MEMBER PYMT-TEL,AAA EC MEMBER PYMT-TEL,28,debit,Auto Insurance,Southwest Credit Card,,
10/24/2023,10,2023,CARTER'S #386,CARTER'S #386,10.8,debit,Clothing,Southwest Credit Card,,
10/23/2023,10,2023,LOS 2940 PITTSBURGH OUTL,LOS 2940 PITTSBURGH OUTL,76.98,debit,Clothing,Southwest Credit Card,,
10/23/2023,10,2023,NikePOS_US,NikePOS_US,101.04,debit,Sporting Goods,Southwest Credit Card,,
10/23/2023,10,2023,Crocs,Crocs,56.15,debit,Clothing,Southwest Credit Card,,
10/23/2023,10,2023,PHOTOBOOTH VEND,PHOTOBOOTH VEND,8,debit,Amusement,Southwest Credit Card,,
10/22/2023,10,2023,Prime Video Channels,Prime Video Channels,8.99,credit,Movies & DVDs,Southwest Credit Card,,
10/22/2023,10,2023,HEALTHY PAWS PET INSURAN,HEALTHY PAWS PET INSURAN,72.55,debit,Pets,Southwest Credit Card,,
10/22/2023,10,2023,Amazon Kids+*TD2G23OT1,Amazon Kids+*TD2G23OT1,4.99,debit,Shopping,Southwest Credit Card,,
10/22/2023,10,2023,ShopDisney.com,ShopDisney.com,50,debit,Gift,Southwest Credit Card,,
10/22/2023,10,2023,AAA EC PLSNT HILLS-R,AAA EC PLSNT HILLS-R,226,debit,Auto Insurance,Southwest Credit Card,,
10/22/2023,10,2023,CHIPOTLE ONLINE,CHIPOTLE ONLINE,44.69,debit,Fast Food,Southwest Credit Card,,
10/22/2023,10,2023,Prime Video Channels,Prime Video Channels,15.99,credit,Movies & DVDs,Southwest Credit Card,,
10/22/2023,10,2023,DUFFYS BEER,DUFFYS BEER,91.42,debit,Alcohol & Bars,Southwest Credit Card,,
10/22/2023,10,2023,Amazon.com*TD0EI9NY2,Amazon.com*TD0EI9NY2,12.7,debit,Shopping,Southwest Credit Card,,
10/22/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,21.19,debit,Electronics & Software,Southwest Credit Card,,
10/20/2023,10,2023,CP PENNDOT RID BRIDGEVIL,CP PENNDOT RID BRIDGEVIL,69.5,debit,Parking,Southwest Credit Card,,
10/20/2023,10,2023,Amazon.com*XI6P34UY3,Amazon.com*XI6P34UY3,7.39,debit,Shopping,Southwest Credit Card,,
10/20/2023,10,2023,GOOGLE *YouTubePremium,GOOGLE *YouTubePremium,13.99,debit,Television,Southwest Credit Card,,
10/19/2023,10,2023,GIANT-EAGLE #0031,GIANT-EAGLE #0031,25.86,debit,Groceries,Southwest Credit Card,,
10/19/2023,10,2023,Amazon.com*NP0OX6S63,Amazon.com*NP0OX6S63,7.75,debit,Shopping,Southwest Credit Card,,
10/19/2023,10,2023,Amazon.com*TPX391WN2,Amazon.com*TPX391WN2,10.59,debit,Shopping,Southwest Credit Card,,
10/19/2023,10,2023,AMZN Mktp US*NN4ZL2WU3,AMZN Mktp US*NN4ZL2WU3,12.51,debit,Shopping,Southwest Credit Card,,
10/18/2023,10,2023,Amazon.com*TD8RQ9ZD0,Amazon.com*TD8RQ9ZD0,35.5,debit,Shopping,Southwest Credit Card,,
10/18/2023,10,2023,AMZN Mktp US*TDXL57L00,AMZN Mktp US*TDXL57L00,14.83,debit,Shopping,Southwest Credit Card,,
10/18/2023,10,2023,ACVETCARE.COM,ACVETCARE.COM,131,debit,Doctor,Southwest Credit Card,,
10/18/2023,10,2023,CVS/PHARMACY #X2333,CVS/PHARMACY #X2333,12.08,debit,Pharmacy,Southwest Credit Card,,
10/18/2023,10,2023,WWP*CUSTOM TURF INC.,WWP*CUSTOM TURF INC.,50.56,debit,Lawn & Garden,Southwest Credit Card,,
10/18/2023,10,2023,Amazon.com*TPXKB8922,Amazon.com*TPXKB8922,4.49,debit,Shopping,Southwest Credit Card,,
10/17/2023,10,2023,SP ONCE UPON A FARM,SP ONCE UPON A FARM,75.69,debit,Food & Dining,Southwest Credit Card,,
10/17/2023,10,2023,SP THEFEED.COM * 54,SP THEFEED.COM * 54,106.92,debit,Food & Dining,Southwest Credit Card,,
10/17/2023,10,2023,HOMEDEPOT.COM,HOMEDEPOT.COM,25.41,debit,Home Improvement,Southwest Credit Card,,
10/17/2023,10,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,48.36,debit,Groceries,Southwest Credit Card,,
10/17/2023,10,2023,Amazon.com*TP99D2RO0,Amazon.com*TP99D2RO0,12.16,debit,Shopping,Southwest Credit Card,,
10/17/2023,10,2023,GIANT-EAGLE #0093 CURBSID,GIANT-EAGLE #0093 CURBSID,113.25,debit,Groceries,Southwest Credit Card,,
10/17/2023,10,2023,BIKEREGREGISTRATION,BIKEREGREGISTRATION,59.83,debit,Personal Care,Southwest Credit Card,,
10/17/2023,10,2023,XXX Market  XXX XXX-3299,XXX Market  XXX XXX-3299,1.95,debit,Groceries,Southwest Credit Card,,
10/16/2023,10,2023,SQ *KEYSTONE STEEL CO.,SQ *KEYSTONE STEEL CO.,32.1,debit,Furnishings,Southwest Credit Card,,
10/16/2023,10,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,64.83,debit,Groceries,Southwest Credit Card,,
10/16/2023,10,2023,SQ *DOGGOS AND DECOR,SQ *DOGGOS AND DECOR,19.17,debit,Furnishings,Southwest Credit Card,,
10/16/2023,10,2023,SEIVERS TENTS AND EVENTS,SEIVERS TENTS AND EVENTS,28,debit,Fast Food,Southwest Credit Card,,
10/16/2023,10,2023,IN *WINTERWOOD CRAFTS,IN *WINTERWOOD CRAFTS,45,debit,Hobbies,Southwest Credit Card,,
10/16/2023,10,2023,THE HOME DEPOT 4115,THE HOME DEPOT 4115,2.48,debit,Home Improvement,Southwest Credit Card,,
10/16/2023,10,2023,STARBUCKS XXX-XXX-7282,STARBUCKS XXX-XXX-7282,25,debit,Coffee Shops,Southwest Credit Card,,
10/16/2023,10,2023,THE HOME DEPOT 4115,THE HOME DEPOT 4115,71.33,debit,Home Improvement,Southwest Credit Card,,
10/16/2023,10,2023,SUNOCO XXXXXX2002,SUNOCO XXXXXX2002,37.96,debit,Gas & Fuel,Southwest Credit Card,,
10/16/2023,10,2023,Prime Video Channels,Prime Video Channels,15.99,debit,Movies & DVDs,Southwest Credit Card,,
10/16/2023,10,2023,CHICK-FIL-A #X2090,CHICK-FIL-A #X2090,25.93,debit,Fast Food,Southwest Credit Card,,
10/16/2023,10,2023,SUNOCO XXXXXX2002,SUNOCO XXXXXX2002,12.82,debit,Gas & Fuel,Southwest Credit Card,,
10/16/2023,10,2023,Amazon.com*TP0OA34R1,Amazon.com*TP0OA34R1,10.1,debit,Shopping,Southwest Credit Card,,
10/16/2023,10,2023,Amazon.com*TP5AF1MG2,Amazon.com*TP5AF1MG2,9.31,debit,Shopping,Southwest Credit Card,,
10/15/2023,10,2023,GIANT-EAGLE #0031,GIANT-EAGLE #0031,37.76,debit,Groceries,Southwest Credit Card,,
10/15/2023,10,2023,Amazon.com*TP61Y9EK2,Amazon.com*TP61Y9EK2,10.59,debit,Shopping,Southwest Credit Card,,
10/15/2023,10,2023,SQ *JAVA JEFFREY LLC,SQ *JAVA JEFFREY LLC,4.5,debit,Fast Food,Southwest Credit Card,,
10/15/2023,10,2023,AMZN Mktp US*TP6KP4MR0,AMZN Mktp US*TP6KP4MR0,26.92,debit,Shopping,Southwest Credit Card,,
10/15/2023,10,2023,Amazon.com*TEX2L1U41,Amazon.com*TEX2L1U41,8.46,debit,Shopping,Southwest Credit Card,,
10/15/2023,10,2023,AMZN Mktp US*TPXP30E42,AMZN Mktp US*TPXP30E42,19.07,debit,Shopping,Southwest Credit Card,,
10/15/2023,10,2023,X075-CLT CNBC NEWS C 1,X075-CLT CNBC NEWS C 1,6.42,debit,Newspapers & Magazines,Southwest Credit Card,,
10/15/2023,10,2023,ZOE'S BEER.,ZOE'S BEER.,41.71,debit,Alcohol & Bars,Southwest Credit Card,,
10/15/2023,10,2023,XXX Market  XXX XXX-3299,XXX Market  XXX XXX-3299,2.4,debit,Groceries,Southwest Credit Card,,
10/15/2023,10,2023,Amazon.com*TP5CH31S2,Amazon.com*TP5CH31S2,31.89,debit,Shopping,Southwest Credit Card,,
10/15/2023,10,2023,STELLA BAR-CONC C CLT,STELLA BAR-CONC C CLT,37.64,debit,Alcohol & Bars,Southwest Credit Card,,
10/13/2023,10,2023,PIT PARKING/LAZ-2,PIT PARKING/LAZ-2,60,debit,Parking,Southwest Credit Card,,
10/13/2023,10,2023,SQ *JAVA JEFFREY LLC,SQ *JAVA JEFFREY LLC,4.5,debit,Fast Food,Southwest Credit Card,,
10/13/2023,10,2023,AMERICAN AIRXXXXXXXXX7997,AMERICAN AIRXXXXXXXXX7997,182,debit,Air Travel,Southwest Credit Card,,
10/12/2023,10,2023,2098-CLT CLT DYLAN'S C,2098-CLT CLT DYLAN'S C,12.85,debit,Groceries,Southwest Credit Card,,
10/12/2023,10,2023,AMZN Mktp US*TP3TI8FQ2,AMZN Mktp US*TP3TI8FQ2,34.97,debit,Shopping,Southwest Credit Card,,
10/12/2023,10,2023,Amazon.com*TE7XR9ER1,Amazon.com*TE7XR9ER1,6.24,debit,Shopping,Southwest Credit Card,,
10/12/2023,10,2023,SUNOCO XXXXXX6202,SUNOCO XXXXXX6202,45.48,debit,Gas & Fuel,Southwest Credit Card,,
10/12/2023,10,2023,Prime Video Channels,Prime Video Channels,8.99,debit,Movies & DVDs,Southwest Credit Card,,
10/12/2023,10,2023,Amazon.com*TE0IN5R70,Amazon.com*TE0IN5R70,13.05,debit,Shopping,Southwest Credit Card,,
10/12/2023,10,2023,AMZN Mktp US*TE1QR5UK0,AMZN Mktp US*TE1QR5UK0,12.71,debit,Shopping,Southwest Credit Card,,
10/12/2023,10,2023,Amazon.com*TEXK83E91,Amazon.com*TEXK83E91,7.41,debit,Shopping,Southwest Credit Card,,
10/12/2023,10,2023,Amazon.com*TE1Z44AP1,Amazon.com*TE1Z44AP1,10.06,debit,Shopping,Southwest Credit Card,,
10/12/2023,10,2023,STARBUCKS CC PIT,STARBUCKS CC PIT,3.48,debit,Coffee Shops,Southwest Credit Card,,
10/11/2023,10,2023,AMZN Mktp US*TEXP787Q2,AMZN Mktp US*TEXP787Q2,25.31,debit,Shopping,Southwest Credit Card,,
10/11/2023,10,2023,AMZN Mktp US*TE7NW37S2,AMZN Mktp US*TE7NW37S2,16.74,debit,Shopping,Southwest Credit Card,,
10/11/2023,10,2023,Amazon.com*TE8MF8AG1,Amazon.com*TE8MF8AG1,12.07,debit,Shopping,Southwest Credit Card,,
10/11/2023,10,2023,BEAN SPROUTS PITTSBURGH,BEAN SPROUTS PITTSBURGH,25.32,debit,Restaurants,Southwest Credit Card,,
10/11/2023,10,2023,APPLE.COM/BILL,APPLE.COM/BILL,9.99,debit,Electronics & Software,Southwest Credit Card,,
10/11/2023,10,2023,CHILDRENS MUSEUM OF PITT,CHILDRENS MUSEUM OF PITT,152,debit,Arts,Southwest Credit Card,,
10/11/2023,10,2023,NORDSTROM DIRECT #0808,NORDSTROM DIRECT #0808,102,debit,Clothing,Southwest Credit Card,,
10/11/2023,10,2023,BEAN SPROUTS PITTSBURGH,BEAN SPROUTS PITTSBURGH,7.82,debit,Restaurants,Southwest Credit Card,,
10/10/2023,10,2023,CHILDREN'S MUSEUM OF PIT,CHILDREN'S MUSEUM OF PIT,5,debit,Kids,Southwest Credit Card,,
10/10/2023,10,2023,VISION RX PC,VISION RX PC,20,debit,Dentist,Southwest Credit Card,,
10/10/2023,10,2023,"1-800 CONTACTS, INC.","1-800 CONTACTS, INC.",329.92,debit,Eyecare,Southwest Credit Card,,
10/10/2023,10,2023,SPOONWOOD BREWING CO.,SPOONWOOD BREWING CO.,68,debit,Restaurants,Southwest Credit Card,,
10/10/2023,10,2023,Amazon.com*TE8XV4FS1,Amazon.com*TE8XV4FS1,16.04,debit,Shopping,Southwest Credit Card,,
10/9/2023,10,2023,GIANT-EAGLE #0093,GIANT-EAGLE #0093,42.22,debit,Groceries,Southwest Credit Card,,
10/9/2023,10,2023,BP#XXXXXXXXX192 7-ELEVEN,BP#XXXXXXXXX192 7-ELEVEN,46.95,debit,Gas & Fuel,Southwest Credit Card,,
10/9/2023,10,2023,Amazon.com*TE9R93MI0,Amazon.com*TE9R93MI0,13.77,debit,Shopping,Southwest Credit Card,,
10/9/2023,10,2023,GIANT-EAGLE #0093 CURBSID,GIANT-EAGLE #0093 CURBSID,111.03,debit,Groceries,Southwest Credit Card,,
10/9/2023,10,2023,XXX Market  XXX XXX-3299,XXX Market  XXX XXX-3299,1.65,debit,Groceries,Southwest Credit Card,,
