DATE,Value
10/1/93,69.681
11/1/93,74.4292
12/1/93,84.2284
1/1/94,94.1386
2/1/94,87.1607
3/1/94,79.2456
4/1/94,70.9749
5/1/94,69.3844
6/1/94,77.9831
7/1/94,83.277
8/1/94,81.8872
9/1/94,75.6826
10/1/94,71.2661
11/1/94,75.2458
12/1/94,84.8147
1/1/95,92.4532
2/1/95,87.4033
3/1/95,81.2661
4/1/95,73.8167
5/1/95,73.2682
6/1/95,78.3026
7/1/95,85.9841
8/1/95,89.5467
9/1/95,78.5035
10/1/95,73.7066
11/1/95,79.6543
12/1/95,90.8251
1/1/96,98.9732
2/1/96,92.8883
3/1/96,86.9356
4/1/96,77.2214
5/1/96,76.6826
6/1/96,81.9306
7/1/96,85.9606
8/1/96,86.5562
9/1/96,79.1919
10/1/96,74.6891
11/1/96,81.074
12/1/96,90.4855
1/1/97,98.4613
2/1/97,89.7795
3/1/97,83.0125
4/1/97,76.1476
5/1/97,73.8471
6/1/97,79.7645
7/1/97,88.4519
8/1/97,87.7828
9/1/97,81.9386
10/1/97,77.5027
11/1/97,82.0448
12/1/97,92.101
1/1/98,94.792
2/1/98,87.82
3/1/98,86.5549
4/1/98,76.7521
5/1/98,78.0303
6/1/98,86.4579
7/1/98,93.8379
8/1/98,93.531
9/1/98,87.5414
10/1/98,80.0924
11/1/98,81.4349
12/1/98,91.6841
1/1/99,102.1348
2/1/99,91.1829
3/1/99,90.7381
4/1/99,80.5176
5/1/99,79.3887
6/1/99,87.8431
7/1/99,97.4903
8/1/99,96.4157
9/1/99,87.2248
10/1/99,80.6409
11/1/99,82.2025
12/1/99,94.5113
1/1/00,102.2301
2/1/00,94.2989
3/1/00,88.0927
4/1/00,81.4425
5/1/00,84.4552
6/1/00,91.0406
7/1/00,95.9957
8/1/00,99.3704
9/1/00,90.9178
10/1/00,83.1408
11/1/00,88.041
12/1/00,102.4558
1/1/01,109.1081
2/1/01,97.1717
3/1/01,92.8283
4/1/01,82.915
5/1/01,82.5465
6/1/01,90.3955
7/1/01,96.074
8/1/01,99.5534
9/1/01,88.281
10/1/01,82.686
11/1/01,82.9319
12/1/01,93.0381
1/1/02,102.9955
2/1/02,95.2075
3/1/02,93.2556
4/1/02,85.795
5/1/02,85.2351
6/1/02,93.1896
7/1/02,102.393
8/1/02,101.6293
9/1/02,93.3089
10/1/02,86.9002
11/1/02,88.5749
12/1/02,100.8003
1/1/03,110.1807
2/1/03,103.8413
3/1/03,94.5532
4/1/03,85.062
5/1/03,85.4653
6/1/03,91.0761
7/1/03,102.22
8/1/03,104.4682
9/1/03,92.9135
10/1/03,86.5047
11/1/03,88.5735
12/1/03,103.5428
1/1/04,113.7226
2/1/04,106.159
3/1/04,95.4029
4/1/04,86.7233
5/1/04,89.0302
6/1/04,95.5045
7/1/04,101.7948
8/1/04,100.2025
9/1/04,94.024
10/1/04,87.5262
11/1/04,89.6144
12/1/04,105.7263
1/1/05,111.1614
2/1/05,101.7795
3/1/05,98.9565
4/1/05,86.4776
5/1/05,87.2234
6/1/05,99.5076
7/1/05,108.3501
8/1/05,109.4862
9/1/05,99.1155
10/1/05,89.7567
11/1/05,90.4587
12/1/05,108.2257
1/1/06,104.4724
2/1/06,101.5196
3/1/06,98.4017
4/1/06,87.5093
5/1/06,90.0222
6/1/06,100.5244
7/1/06,110.9503
8/1/06,111.5192
9/1/06,95.7632
10/1/06,90.3738
11/1/06,92.3566
12/1/06,103.066
1/1/07,112.0576
2/1/07,111.8399
3/1/07,99.1925
4/1/07,90.8177
5/1/07,92.0587
6/1/07,100.9676
7/1/07,107.5686
8/1/07,114.1036
9/1/07,101.5316
10/1/07,93.0068
11/1/07,93.9126
12/1/07,106.7528
1/1/08,114.8331
2/1/08,108.2353
3/1/08,100.4386
4/1/08,90.9944
5/1/08,91.2348
6/1/08,103.9581
7/1/08,110.7631
8/1/08,107.5665
9/1/08,97.7183
10/1/08,90.9979
11/1/08,93.8057
12/1/08,109.4221
1/1/09,116.8316
2/1/09,104.4202
3/1/09,97.8529
4/1/09,88.1973
5/1/09,87.5366
6/1/09,97.2387
7/1/09,103.9086
8/1/09,105.7486
9/1/09,94.8823
10/1/09,89.2977
11/1/09,89.3585
12/1/09,110.6844
1/1/10,119.0166
2/1/10,110.533
3/1/10,98.2672
4/1/10,86.3
5/1/10,90.8364
6/1/10,104.3538
7/1/10,112.8066
8/1/10,112.9014
9/1/10,100.1209
10/1/10,88.9251
11/1/10,92.775
12/1/10,114.3266
1/1/11,119.488
2/1/11,107.3753
3/1/11,99.1028
4/1/11,89.3583
5/1/11,90.0698
6/1/11,102.8204
7/1/11,114.7068
8/1/11,113.5958
9/1/11,99.4712
10/1/11,90.3566
11/1/11,93.8095
12/1/11,107.3312
1/1/12,111.9646
2/1/12,103.3679
3/1/12,93.5772
4/1/12,87.5566
5/1/12,92.7603
6/1/12,101.14
7/1/12,113.0357
8/1/12,109.8601
9/1/12,96.7431
10/1/12,90.3805
11/1/12,94.3417
12/1/12,105.2722
1/1/13,115.501
2/1/13,106.734
3/1/13,102.9948
4/1/13,91.0092
5/1/13,90.9634
6/1/13,100.6957
7/1/13,110.148
8/1/13,108.1756
9/1/13,99.2809
10/1/13,91.7871
11/1/13,97.2853
12/1/13,113.4732
1/1/14,124.2549
2/1/14,112.8811
3/1/14,104.7631
4/1/14,90.2867
5/1/14,92.134
6/1/14,101.878
7/1/14,108.5497
8/1/14,108.194
9/1/14,100.4172
10/1/14,92.3837
11/1/14,99.7033
12/1/14,109.3477
1/1/15,120.2696
2/1/15,116.3788
3/1/15,104.4706
4/1/15,89.7461
5/1/15,91.093
6/1/15,102.6495
7/1/15,111.6354
8/1/15,110.5925
9/1/15,101.9204
10/1/15,91.5959
11/1/15,93.0628
12/1/15,103.2203
1/1/16,117.0837
2/1/16,106.6688
3/1/16,95.3548
4/1/16,89.3254
5/1/16,90.7369
6/1/16,104.0375
7/1/16,114.5397
8/1/16,115.5159
9/1/16,102.7637
10/1/16,91.4867
11/1/16,92.89
12/1/16,112.7694
1/1/17,114.8505
2/1/17,99.4901
3/1/17,101.0396
4/1/17,88.353
5/1/17,92.0805
6/1/17,102.1532
7/1/17,112.1538
8/1/17,108.9312
9/1/17,98.6154
10/1/17,93.6137
11/1/17,97.3359
12/1/17,114.7212
1/1/18,122.0651133
2/1/18,99.15642
3/1/18,104.0093007
4/1/18,97.70712867
5/1/18,111.1463773
6/1/18,121.5537723
7/1/18,125.257322
8/1/18,127.435468
9/1/18,116.3283533
10/1/18,105.3989297
11/1/18,103.6572637
12/1/18,111.2381593
1/1/19,116.779567
2/1/19,101.6393007
3/1/19,104.6017203
4/1/19,95.706386
5/1/19,106.65154
6/1/19,114.50361
7/1/19,124.5521923
8/1/19,121.4423343
9/1/19,127.8556823
10/1/19,103.8940327
11/1/19,102.91596
12/1/19,110.0907223
